Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,throttle_pc,throttle_rate,engine_rpm
1479424214.7859235,558315,1479424214,785745486,,0.4180000126361847,0.0,2770.0
1479424214.7983575,558316,1479424214,798156734,,0.4180000126361847,0.0,2762.25
1479424214.805556,558317,1479424214,805473946,,0.4180000126361847,0.0,2762.25
1479424214.8164413,558318,1479424214,816334539,,0.4180000126361847,0.0,2754.75
1479424214.825308,558319,1479424214,825194086,,0.4180000126361847,0.0,2747.25
1479424214.8366396,558320,1479424214,836528784,,0.4180000126361847,0.0,2747.25
1479424214.8453245,558321,1479424214,845169432,,0.4180000126361847,0.0,2777.75
1479424214.8568163,558322,1479424214,856707621,,0.4180000126361847,0.0,2770.0
1479424214.8657515,558323,1479424214,865620050,,0.4180000126361847,0.0,2770.0
1479424214.876594,558324,1479424214,876413135,,0.4180000126361847,0.0,2777.75
1479424214.8852623,558325,1479424214,885116860,,0.4180000126361847,0.0,2762.25
1479424214.8981345,558326,1479424214,898031909,,0.4180000126361847,0.0,2762.25
1479424214.9053388,558327,1479424214,905218304,,0.4180000126361847,0.0,2739.5
1479424214.9167342,558328,1479424214,916679599,,0.41200000047683716,-0.00039999998989515007,2754.75
1479424214.9254835,558329,1479424214,925382461,,0.41200000047683716,-0.00039999998989515007,2754.75
1479424214.9363716,558330,1479424214,936305075,,0.4099999964237213,-0.00039999998989515007,2762.25
1479424214.945409,558331,1479424214,945329240,,0.4090000092983246,-0.00039999998989515007,2754.75
1479424214.9565954,558332,1479424214,956525065,,0.4090000092983246,-0.00039999998989515007,2754.75
1479424214.9652505,558333,1479424214,965128043,,0.40799999237060547,-0.00039999998989515007,2762.25
1479424214.9765809,558334,1479424214,976503646,,0.4059999883174896,-0.00039999998989515007,2739.5
1479424214.9854586,558335,1479424214,985387898,,0.4059999883174896,-0.00039999998989515007,2739.5
1479424214.9979093,558336,1479424214,997832393,,0.40299999713897705,-0.00039999998989515007,2770.0
1479424215.0053883,558337,1479424215,5314210,,0.39899998903274536,-0.00039999998989515007,2747.25
1479424215.016582,558338,1479424215,16501840,,0.39899998903274536,-0.00039999998989515007,2747.25
1479424215.025285,558339,1479424215,25191826,,0.3959999978542328,-0.00039999998989515007,2754.75
1479424215.0367699,558340,1479424215,36696878,,0.39500001072883606,-0.00039999998989515007,2770.0
1479424215.0454693,558341,1479424215,45388061,,0.39500001072883606,-0.00039999998989515007,2770.0
1479424215.0564063,558342,1479424215,56333115,,0.39500001072883606,-0.00039999998989515007,2739.5
1479424215.064463,558343,1479424215,64397057,,0.39500001072883606,0.0,2747.25
1479424215.0767512,558344,1479424215,76628945,,0.39500001072883606,0.0,2747.25
1479424215.085314,558345,1479424215,85173663,,0.39500001072883606,-0.00039999998989515007,2762.25
1479424215.0983458,558346,1479424215,98144096,,0.39399999380111694,-0.00039999998989515007,2724.75
1479424215.1058366,558347,1479424215,105531641,,0.39399999380111694,-0.00039999998989515007,2724.75
1479424215.1168938,558348,1479424215,116466380,,0.3930000066757202,-0.00039999998989515007,2754.75
1479424215.1255677,558349,1479424215,125218017,,0.3919999897480011,-0.00039999998989515007,2747.25
1479424215.137091,558350,1479424215,136642068,,0.3919999897480011,-0.00039999998989515007,2747.25
1479424215.1456356,558351,1479424215,145244166,,0.38999998569488525,-0.00039999998989515007,2747.25
1479424215.1572146,558352,1479424215,156813229,,0.38999998569488525,-0.00039999998989515007,2754.75
1479424215.1655874,558353,1479424215,165391570,,0.38999998569488525,-0.00039999998989515007,2754.75
1479424215.1765883,558354,1479424215,176336300,,0.3889999985694885,-0.00039999998989515007,2754.75
1479424215.1859963,558355,1479424215,185701996,,0.3889999985694885,0.0,2739.5
1479424215.1983047,558356,1479424215,198047983,,0.3889999985694885,0.0,2739.5
1479424215.20554,558357,1479424215,205303434,,0.3889999985694885,-0.00039999998989515007,2754.75
1479424215.2167988,558358,1479424215,216564585,,0.3880000114440918,-0.00039999998989515007,2754.75
1479424215.2256117,558359,1479424215,225390227,,0.3880000114440918,-0.00039999998989515007,2754.75
1479424215.2366729,558360,1479424215,236406276,,0.38600000739097595,-0.00039999998989515007,2754.75
1479424215.245388,558361,1479424215,245184475,,0.38499999046325684,-0.00039999998989515007,2739.5
1479424215.2567844,558362,1479424215,256542692,,0.38499999046325684,-0.00039999998989515007,2739.5
1479424215.2695377,558363,1479424215,265710890,,0.38499999046325684,-0.00039999998989515007,2754.75
1479424215.2769237,558364,1479424215,276674321,,0.38499999046325684,-0.00039999998989515007,2747.25
1479424215.2856762,558365,1479424215,285431831,,0.38499999046325684,-0.00039999998989515007,2747.25
1479424215.2980359,558366,1479424215,297816262,,0.38499999046325684,-0.00039999998989515007,2724.75
1479424215.3055127,558367,1479424215,305294779,,0.38499999046325684,0.0,2724.75
1479424215.3167636,558368,1479424215,316529321,,0.38499999046325684,0.0,2724.75
1479424215.3258905,558369,1479424215,325663077,,0.38499999046325684,0.0,2754.75
1479424215.3365417,558370,1479424215,336302013,,0.38499999046325684,0.0,2747.25
1479424215.3461945,558371,1479424215,345908790,,0.38499999046325684,0.0,2747.25
1479424215.3565562,558372,1479424215,356315640,,0.3840000033378601,-0.00039999998989515007,2762.25
1479424215.365405,558373,1479424215,365182881,,0.3840000033378601,-0.00039999998989515007,2739.5
1479424215.37692,558374,1479424215,376661540,,0.3840000033378601,-0.00039999998989515007,2739.5
1479424215.386114,558375,1479424215,385897830,,0.3840000033378601,-0.00039999998989515007,2747.25
1479424215.3981292,558376,1479424215,397800915,,0.3840000033378601,0.0,2739.5
1479424215.4056413,558377,1479424215,405466546,,0.3840000033378601,0.0,2739.5
1479424215.4165585,558378,1479424215,416357699,,0.3840000033378601,0.0,2739.5
1479424215.4255052,558379,1479424215,425353142,,0.3840000033378601,0.0,2717.25
1479424215.436754,558380,1479424215,436543760,,0.3840000033378601,0.0,2717.25
1479424215.4460084,558381,1479424215,445808328,,0.3840000033378601,0.0,2747.25
1479424215.4564602,558382,1479424215,456286488,,0.382999986410141,-0.00039999998989515007,2717.25
1479424215.4658284,558383,1479424215,465623361,,0.382999986410141,-0.00039999998989515007,2717.25
1479424215.4764698,558384,1479424215,476309187,,0.382999986410141,-0.00039999998989515007,2747.25
1479424215.4853914,558385,1479424215,485190702,,0.382999986410141,-0.00039999998989515007,2739.5
