Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,steering_wheel_angle,steering_wheel_angle_cmd,steering_wheel_torque,speed,enabled,override,driver,fault_wdc,fault_bus1,fault_bus2,fault_calibration,fault_connector
1479424214.7874527,278688,1479424214,787219361,,0.003490658476948738,0.0,0.125,22.880556106567383,False,False,False,False,False,False,False,True
1479424214.807333,278689,1479424214,807231859,,0.003490658476948738,0.0,0.125,22.886110305786133,False,False,False,False,False,False,False,True
1479424214.82744,278690,1479424214,827300730,,0.003490658476948738,0.0,0.125,22.891666412353516,False,False,False,False,False,False,False,True
1479424214.847458,278691,1479424214,847355643,,0.003490658476948738,0.0,0.1875,22.8972225189209,False,False,False,False,False,False,False,True
1479424214.8675082,278692,1479424214,867355824,,0.003490658476948738,0.0,0.0,22.90277862548828,False,False,False,False,False,False,False,True
1479424214.8874445,278693,1479424214,887364135,,0.003490658476948738,0.0,0.0625,22.905555725097656,False,False,False,False,False,False,False,True
1479424214.907509,278694,1479424214,907399816,,0.003490658476948738,0.0,0.25,22.90833282470703,False,False,False,False,False,False,False,True
1479424214.927609,278695,1479424214,927455132,,0.003490658476948738,0.0,-0.0625,22.91111183166504,False,False,False,False,False,False,False,True
1479424214.9476025,278696,1479424214,947476806,,0.001745329238474369,0.0,0.0,22.913888931274414,False,False,False,False,False,False,False,True
1479424214.9677992,278697,1479424214,967638631,,0.001745329238474369,0.0,-0.0625,22.913888931274414,False,False,False,False,False,False,False,True
1479424214.9877164,278698,1479424214,987608507,,0.001745329238474369,0.0,0.25,22.922222137451172,False,False,False,False,False,False,False,True
1479424215.007739,278699,1479424215,7651861,,0.001745329238474369,0.0,-0.0625,22.91666603088379,False,False,False,False,False,False,False,True
1479424215.0277946,278700,1479424215,27637427,,0.001745329238474369,0.0,0.125,22.91111183166504,False,False,False,False,False,False,False,True
1479424215.0477674,278701,1479424215,47670967,,0.001745329238474369,0.0,-0.1875,22.913888931274414,False,False,False,False,False,False,False,True
1479424215.0678096,278702,1479424215,67703294,,0.0,0.0,-0.125,22.913888931274414,False,False,False,False,False,False,False,True
1479424215.088006,278703,1479424215,87827569,,-0.003490658476948738,0.0,-0.25,22.91111183166504,False,False,False,False,False,False,False,True
1479424215.1081195,278704,1479424215,107787727,,-0.005235987715423107,0.0,-0.25,22.90833282470703,False,False,False,False,False,False,False,True
1479424215.128254,278705,1479424215,127809267,,-0.006981316953897476,0.0,-0.1875,22.91111183166504,False,False,False,False,False,False,False,True
1479424215.1483483,278706,1479424215,147880305,,-0.010471975430846214,0.0,-0.25,22.91111183166504,False,False,False,False,False,False,False,True
1479424215.1681147,278707,1479424215,167852446,,-0.010471975430846214,0.0,-0.1875,22.919445037841797,False,False,False,False,False,False,False,True
1479424215.1882548,278708,1479424215,187945498,,-0.010471975430846214,0.0,-0.25,22.924999237060547,False,False,False,False,False,False,False,True
1479424215.2083097,278709,1479424215,207962551,,-0.012217304669320583,0.0,-0.125,22.938888549804688,False,False,False,False,False,False,False,True
1479424215.228283,278710,1479424215,227994688,,-0.012217304669320583,0.0,-0.1875,22.947221755981445,False,False,False,False,False,False,False,True
1479424215.248375,278711,1479424215,248047727,,-0.012217304669320583,0.0,-0.1875,22.947221755981445,False,False,False,False,False,False,False,True
1479424215.2696426,278712,1479424215,268047655,,-0.013962633907794952,0.0,-0.1875,22.95833396911621,False,False,False,False,False,False,False,True
1479424215.2884064,278713,1479424215,288069542,,-0.013962633907794952,0.0,-0.375,22.97222137451172,False,False,False,False,False,False,False,True
1479424215.3084748,278714,1479424215,308153483,,-0.015707964077591896,0.0,-0.25,22.983333587646484,False,False,False,False,False,False,False,True
1479424215.328471,278715,1479424215,328163849,,-0.015707964077591896,0.0,-0.3125,22.98611068725586,False,False,False,False,False,False,False,True
1479424215.3484247,278716,1479424215,348160393,,-0.015707964077591896,0.0,0.0,22.994443893432617,False,False,False,False,False,False,False,True
1479424215.368487,278717,1479424215,368202474,,-0.015707964077591896,0.0,-0.125,23.0,False,False,False,False,False,False,False,True
1479424215.388499,278718,1479424215,388266825,,-0.015707964077591896,0.0,-0.375,22.994443893432617,False,False,False,False,False,False,False,True
1479424215.4085207,278719,1479424215,408293846,,-0.019198622554540634,0.0,-0.625,22.994443893432617,False,False,False,False,False,False,False,True
1479424215.4285684,278720,1479424215,428329197,,-0.022689281031489372,0.0,-0.4375,22.997222900390625,False,False,False,False,False,False,False,True
1479424215.448571,278721,1479424215,448359436,,-0.02617993950843811,0.0,-0.3125,23.002777099609375,False,False,False,False,False,False,False,True
1479424215.4686458,278722,1479424215,468401919,,-0.027925267815589905,0.0,-0.375,22.994443893432617,False,False,False,False,False,False,False,True
1479424215.4888144,278723,1479424215,488393291,,-0.027925267815589905,0.0,0.0,22.988889694213867,False,False,False,False,False,False,False,True
1479424215.5086675,278724,1479424215,508435095,,-0.02617993950843811,0.0,0.1875,22.98055648803711,False,False,False,False,False,False,False,True
1479424215.528758,278725,1479424215,528481355,,-0.02094395086169243,0.0,0.1875,22.975000381469727,False,False,False,False,False,False,False,True
1479424215.5487652,278726,1479424215,548521625,,-0.019198622554540634,0.0,0.1875,22.96666717529297,False,False,False,False,False,False,False,True
1479424215.5688398,278727,1479424215,568535561,,-0.015707964077591896,0.0,0.0625,22.952777862548828,False,False,False,False,False,False,False,True
