Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,brake_torque_request,brake_torque_actual,wheel_torque_actual,accel_over_ground,hsa.status,hsa.mode,abs_active,abs_enabled,stab_active,stab_enabled,trac_active,trac_enabled,parking_brake.status,stationary
1479424214.7835288,279155,1479424214,783311269,,0.0,0.0,620.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424214.8034875,279156,1479424214,803405172,,0.0,0.0,608.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424214.8233058,279157,1479424214,823195526,,0.0,0.0,612.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424214.8432674,279158,1479424214,843154239,,0.0,0.0,616.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424214.8632753,279159,1479424214,863176752,,0.0,0.0,620.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424214.883224,279160,1479424214,883150492,,0.0,0.0,616.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424214.9032936,279161,1479424214,903172217,,0.0,0.0,616.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424214.9232411,279162,1479424214,923172164,,0.0,0.0,628.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424214.9432254,279163,1479424214,943154005,,0.0,0.0,620.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424214.9632397,279164,1479424214,963172394,,0.0,0.0,624.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424214.9832006,279165,1479424214,983132222,,0.0,0.0,620.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.0032701,279166,1479424215,3192941,,0.0,0.0,628.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.023262,279167,1479424215,23191670,,0.0,0.0,620.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.0432658,279168,1479424215,43192002,,0.0,0.0,624.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.0632153,279169,1479424215,63148927,,0.0,0.0,624.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.083276,279170,1479424215,83161619,,0.0,0.0,628.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.1034243,279171,1479424215,103182484,,0.0,0.0,624.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.1236007,279172,1479424215,123223157,,0.0,0.0,612.0,0.03500000014901161,0,1,False,True,False,True,False,True,0,False
1479424215.1435933,279173,1479424215,143205875,,0.0,0.0,608.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.1634092,279174,1479424215,163188413,,0.0,0.0,600.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.1834238,279175,1479424215,183192040,,0.0,0.0,604.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.2034197,279176,1479424215,203191540,,0.0,0.0,588.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.2234104,279177,1479424215,223193892,,0.0,0.0,592.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.2434993,279178,1479424215,243217957,,0.0,0.0,596.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.263563,279179,1479424215,263230418,,0.0,0.0,600.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.2835348,279180,1479424215,283255101,,0.0,0.0,592.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.3035324,279181,1479424215,303226448,,0.0,0.0,596.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.3235025,279182,1479424215,323273874,,0.0,0.0,604.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.3434057,279183,1479424215,343215084,,0.0,0.0,600.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.3634405,279184,1479424215,363203451,,0.0,0.0,600.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.3833864,279185,1479424215,383204482,,0.0,0.0,596.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.4035463,279186,1479424215,403321727,,0.0,0.0,596.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.423519,279187,1479424215,423297241,,0.0,0.0,588.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.4435456,279188,1479424215,443364070,,0.0,0.0,596.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.463559,279189,1479424215,463371141,,0.0,0.0,596.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.4834554,279190,1479424215,483203094,,0.0,0.0,604.0,0.10499999672174454,0,1,False,True,False,True,False,True,0,False
1479424215.503397,279191,1479424215,503208243,,0.0,0.0,608.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.5235293,279192,1479424215,523293722,,0.0,0.0,604.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.5436583,279193,1479424215,543419140,,0.0,0.0,596.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.5636053,279194,1479424215,563407307,,0.0,0.0,596.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.5836153,279195,1479424215,583395679,,0.0,0.0,596.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.603399,279196,1479424215,603202551,,0.0,0.0,584.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.6234193,279197,1479424215,623192554,,0.0,0.0,580.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
1479424215.6434238,279198,1479424215,643208124,,0.0,0.0,568.0,0.07000000029802322,0,1,False,True,False,True,False,True,0,False
