Time,throttle_pc,throttle_rate,engine_rpm,left_image_path,center_image_path,right_image_path
1479424214.7859235,0.4180000126361847,0.0,2770.0,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424215877601572.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424215885702953.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424215881572005.png
1479424214.7983575,0.4180000126361847,0.0,2762.25,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424215927376704.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424215935744028.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424215932769657.png
1479424214.805556,0.4180000126361847,0.0,2762.25,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424215977463338.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424215985964663.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424215982083116.png
1479424214.8164413,0.4180000126361847,0.0,2754.75,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424216027468320.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424216035468115.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424216032056275.png
1479424214.825308,0.4180000126361847,0.0,2747.25,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424216077857057.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424216085749005.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424216081984983.png
1479424214.8366396,0.4180000126361847,0.0,2747.25,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424216127646122.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424216137502755.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424216132266163.png
1479424214.8453245,0.4180000126361847,0.0,2777.75,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424216176569089.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424216184711490.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424216181174195.png
1479424214.8568163,0.4180000126361847,0.0,2770.0,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424216227025263.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424216234848019.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424216231850187.png
1479424214.8657515,0.4180000126361847,0.0,2770.0,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424216276615983.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424216284795247.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424216281225814.png
1479424214.876594,0.4180000126361847,0.0,2777.75,./Data/ROSBAG/Ch2_002/images/HMB_1\left\frame_1479424216326904145.png,./Data/ROSBAG/Ch2_002/images/HMB_1\center\frame_1479424216335154483.png,./Data/ROSBAG/Ch2_002/images/HMB_1\right\frame_1479424216331227343.png
