Time,steering_wheel_angle,steering_wheel_torque,speed,left_image_path,center_image_path,right_image_path
1479424214.7874527,0.0034906584769487,0.125,82.37000198364258,,,
1479424214.807333,0.0034906584769487,0.125,82.38999710083009,,,
1479424214.82744,0.0034906584769487,0.125,82.40999908447267,,,
1479424214.847458,0.0034906584769487,0.1875,82.43000106811523,,,
1479424214.8675082,0.0034906584769487,0.0,82.45000305175782,,,
1479424214.8874445,0.0034906584769487,0.0625,82.46000061035157,,,
1479424214.907509,0.0034906584769487,0.25,82.46999816894531,,,
1479424214.927609,0.0034906584769487,-0.0625,82.48000259399414,,,
1479424214.9476025,0.0017453292384743,0.0,82.49000015258788,,,
1479424214.9677992,0.0017453292384743,-0.0625,82.49000015258788,,,
1479424214.9877164,0.0017453292384743,0.25,82.51999969482421,,,
1479424215.007739,0.0017453292384743,-0.0625,82.49999771118165,,,
1479424215.0277946,0.0017453292384743,0.125,82.48000259399414,,,
1479424215.0477674,0.0017453292384743,-0.1875,82.49000015258788,,,
1479424215.0678096,0.0,-0.125,82.49000015258788,,,
1479424215.088006,-0.0034906584769487,-0.25,82.48000259399414,,,
1479424215.1081195,-0.0052359877154231,-0.25,82.46999816894531,,,
1479424215.128254,-0.0069813169538974,-0.1875,82.48000259399414,,,
1479424215.1483483,-0.0104719754308462,-0.25,82.48000259399414,,,
1479424215.168115,-0.0104719754308462,-0.1875,82.51000213623048,,,
1479424215.1882548,-0.0104719754308462,-0.25,82.52999725341797,,,
1479424215.2083097,-0.0122173046693205,-0.125,82.57999877929687,,,
1479424215.228283,-0.0122173046693205,-0.1875,82.60999832153321,,,
1479424215.248375,-0.0122173046693205,-0.1875,82.60999832153321,,,
1479424215.2696426,-0.0139626339077949,-0.1875,82.65000228881836,,,
1479424215.2884064,-0.0139626339077949,-0.375,82.69999694824219,,,
1479424215.3084748,-0.0157079640775918,-0.25,82.74000091552735,,,
1479424215.328471,-0.0157079640775918,-0.3125,82.7499984741211,,,
1479424215.348425,-0.0157079640775918,0.0,82.77999801635742,,,
1479424215.368487,-0.0157079640775918,-0.125,82.8,,,
1479424215.388499,-0.0157079640775918,-0.375,82.77999801635742,,,
