Time,brake_torque_actual,wheel_torque_actual,accel_over_ground,stationary
1479424214.7835288,0.0,620.0,0.0700000002980232,0
1479424214.8034875,0.0,608.0,0.0700000002980232,0
1479424214.8233058,0.0,612.0,0.1049999967217445,0
1479424214.8432674,0.0,616.0,0.1049999967217445,0
1479424214.8632753,0.0,620.0,0.1049999967217445,0
1479424214.883224,0.0,616.0,0.1049999967217445,0
1479424214.9032936,0.0,616.0,0.1049999967217445,0
1479424214.9232411,0.0,628.0,0.1049999967217445,0
1479424214.9432254,0.0,620.0,0.1049999967217445,0
1479424214.9632397,0.0,624.0,0.1049999967217445,0
1479424214.9832006,0.0,620.0,0.1049999967217445,0
1479424215.00327,0.0,628.0,0.1049999967217445,0
1479424215.023262,0.0,620.0,0.0700000002980232,0
1479424215.0432658,0.0,624.0,0.0700000002980232,0
1479424215.0632153,0.0,624.0,0.0700000002980232,0
1479424215.083276,0.0,628.0,0.1049999967217445,0
1479424215.1034243,0.0,624.0,0.0700000002980232,0
1479424215.1236007,0.0,612.0,0.0350000001490116,0
1479424215.1435933,0.0,608.0,0.0700000002980232,0
1479424215.1634092,0.0,600.0,0.1049999967217445,0
1479424215.1834238,0.0,604.0,0.1049999967217445,0
1479424215.2034197,0.0,588.0,0.1049999967217445,0
1479424215.2234104,0.0,592.0,0.1049999967217445,0
1479424215.2434993,0.0,596.0,0.1049999967217445,0
1479424215.263563,0.0,600.0,0.1049999967217445,0
1479424215.2835348,0.0,592.0,0.1049999967217445,0
1479424215.3035324,0.0,596.0,0.1049999967217445,0
1479424215.3235023,0.0,604.0,0.1049999967217445,0
1479424215.3434055,0.0,600.0,0.1049999967217445,0
1479424215.3634405,0.0,600.0,0.1049999967217445,0
1479424215.3833864,0.0,596.0,0.1049999967217445,0
1479424215.4035463,0.0,596.0,0.1049999967217445,0
1479424215.423519,0.0,588.0,0.1049999967217445,0
1479424215.4435456,0.0,596.0,0.1049999967217445,0
1479424215.463559,0.0,596.0,0.1049999967217445,0
1479424215.4834554,0.0,604.0,0.1049999967217445,0
1479424215.503397,0.0,608.0,0.0700000002980232,0
1479424215.5235293,0.0,604.0,0.0700000002980232,0
1479424215.5436585,0.0,596.0,0.0700000002980232,0
1479424215.5636053,0.0,596.0,0.0700000002980232,0
